shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q1000_k1041_ns332_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,332,8192,1000,1041,128,0.13162627220153808,0.1299277663230896,1.0131,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1041_ns332_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,332,8192,1000,1041,0,0.48111486434936523,0.40558037757873533,1.1862,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1042_ns340_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,340,8192,1000,1042,128,0.1332692861557007,0.14208133220672609,0.938,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1042_ns340_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,340,8192,1000,1042,0,0.4863093376159668,0.4105839252471924,1.1844,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1043_ns347_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,347,8192,1000,1043,128,0.1369202971458435,0.12867326736450196,1.0641,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1043_ns347_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,347,8192,1000,1043,0,0.49569039344787597,0.4208630084991455,1.1778,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1044_ns355_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,355,8192,1000,1044,128,0.1396153211593628,0.11875720024108886,1.1756,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1044_ns355_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,355,8192,1000,1044,0,0.5066315174102783,0.4250770092010498,1.1919,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1045_ns363_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,363,8192,1000,1045,128,0.1373603105545044,0.11536366939544677,1.1907,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1045_ns363_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,363,8192,1000,1045,0,0.5251066207885742,0.4351645469665527,1.2067,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1046_ns371_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,371,8192,1000,1046,128,0.12974525690078736,0.11410317420959473,1.1371,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1046_ns371_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,371,8192,1000,1046,0,0.5260255813598633,0.441878604888916,1.1904,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1047_ns379_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,379,8192,1000,1047,128,0.13139877319335938,0.11349166631698608,1.1578,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1047_ns379_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,379,8192,1000,1047,0,0.5381726264953614,0.44446659088134766,1.2108,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1048_ns387_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,387,8192,1000,1048,128,0.13420380353927613,0.11733518838882447,1.1438,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1048_ns387_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,387,8192,1000,1048,0,0.548942756652832,0.45710268020629885,1.2009,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1049_ns394_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,394,8192,1000,1049,128,0.14031533002853394,0.11796019077301026,1.1895,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1049_ns394_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,394,8192,1000,1049,0,0.5632318019866943,0.45941920280456544,1.226,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1050_ns402_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,402,8192,1000,1050,128,0.14081182479858398,0.11827019453048707,1.1906,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1050_ns402_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,402,8192,1000,1050,0,0.5685338497161865,0.47179479598999025,1.205,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1051_ns410_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,410,8192,1000,1051,128,0.141912841796875,0.11848069429397583,1.1978,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1051_ns410_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,410,8192,1000,1051,0,0.5749043941497802,0.47152228355407716,1.2193,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1052_ns418_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,418,8192,1000,1052,128,0.14428285360336304,0.12053971290588379,1.197,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1052_ns418_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,418,8192,1000,1052,0,0.5884044647216797,0.4812338352203369,1.2227,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1053_ns425_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,425,8192,1000,1053,128,0.1478963613510132,0.12045521736145019,1.2278,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1053_ns425_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,425,8192,1000,1053,0,0.5985604763031006,0.4866044044494629,1.2301,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1054_ns433_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,433,8192,1000,1054,128,0.14953337907791137,0.1226122260093689,1.2196,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1054_ns433_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,433,8192,1000,1054,0,0.6038335800170899,0.49626145362854,1.2168,0.000977,production_dispatch,65536
